what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410118169428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118170444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118176030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118179214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118226664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118232682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118436845
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410118438822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118440655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118498855
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410118500305
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1410118501335
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410118502190
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410118502763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118506051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118516672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118517931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118704513
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410118705446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410118727057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167578351
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1410167583123
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410167589473
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410167591299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410167626258
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.common.ui",1410167629063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167629072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167637297
activated,view,org.eclipse.datatools.sqltools.result.ui,1.1.2.v201110010535,"org.eclipse.datatools.sqltools.result.resultView",1410167637343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167637645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167646735
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1410167649518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167652254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167656611
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410167656722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167660428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167664782
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1410167665092
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410167669920
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410167671337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410167677452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410185924454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410185924885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410185926112
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410185934476
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1410185953554
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1410185953700
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1410185953793
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1410185953909
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1410185954016
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1410185954199
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1410185954253
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1410185954354
