what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410538693188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410538696469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1410538699778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410538702462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410538706845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410538713652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410538715350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410538717015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539036611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539059679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539182768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539184458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539231099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410539232745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410539233713
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410539241079
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410539243022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410539244205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539244762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539248359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410539248378
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1410539248495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539248579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539249718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410539252396
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1410539259237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539270788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539378754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539382406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539593156
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1410539612779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1410539624059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1410539627894
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1410539628913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539631623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539723117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539725245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539732656
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410539732685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410539734950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410539749448
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1410539751795
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1410539753667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539761983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410539802546
opened,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1410539802681
