127.0.0.1 - - [04/Sep/2014:17:17:23 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/ HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/bootstrap.css HTTP/1.1" 200 132546
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/enject_small.png HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/logo_264x7.png HTTP/1.1" 200 16145
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/js.js HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/badge-icon.png HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/large_logo880x394.png HTTP/1.1" 200 174153
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/bulb-icon.png HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/css.css HTTP/1.1" 200 6487
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/images/alarm-clock-icon.png HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:45 +0300] "GET /Translator/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:46 +0300] "GET /Translator/sansation_light.woff HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [04/Sep/2014:17:18:46 +0300] "GET /Translator/images/NEW-YORK-CITY.jpg HTTP/1.1" 200 504807
